hero,screentime,appearance,importance,budget_by_screentime,budget_by_screentime_rounded_MM,revenue_by_screentime,revenue_by_screentime_rounded_MM,twitter_follower,avg_screentime,col_high
Iron Man,21465,11,1,539901549.2,540,2636124493,2636,2400,1661,high
Spider-Man,9750,5,1,297224823.5,297,1741836486,1742,966.9,308,high
Captain America,14610,10,1,339745604.1,340,1483485047,1483,2600,1320,high
Thor,12330,8,1,313651686.8,314,1362533626,1363,2100,1016,high
Hulk,8475,8,1,211245975.1,211,865697246.7,866,459,1069,low
Captain Marvel,4260,2,1,121912620.9,122,820602902.9,821,1100,360,low
Black Widow,6630,9,1,154534308.6,155,777473173.2,777,71.8,956,low
Nick Fury,4605,11,0,116884099.7,117,685203416.7,685,0,338,mid
Ant-Man,6705,4,1,177512439.8,178,663603922.1,664,1100,795,low
Black Panther,3885,4,1,104865701.9,105,635574182.6,636,1400,158,low
Doctor Strange,5340,4,1,151218290,151,622915754.6,623,1200,375,low
Star-Lord,5745,4,0,137106159.3,137,596856501.6,597,0,398,mid
Gamora,4785,4,0,121222159,121,546269471.6,546,0,743,mid
Pepper Potts,4185,7,0,105200144.4,105,497632041.2,498,0,205,mid
Loki,4710,6,1,115389567,115,493279519.4,493,166.9,525,low
War Machine,3525,8,0,91099332.97,91,415140519.6,415,0,290,low
Hawkeye,3030,5,0,71880969.86,72,408791255.3,409,0,915,low
Thanos,2685,5,0,80288489.26,80,406164859.4,406,0,656,low
Rocket Raccoon,3225,4,0,78409779.78,78,356893153.8,357,0,435,low
Wasp,3120,3,0,90743606.12,91,302147121,302,0,75,low
Scarlet Witch,2055,5,0,56052920.99,56,278585220.2,279,0,465,low
Dr. Hank Pym,2940,3,0,80322588.65,80,276580291.2,277,0,30,low
Winter Soldier,2910,7,0,67841389.8,68,276301086.8,276,0,128,low
Drax,2475,4,0,60268969.9,60,263247001,263,0,203,low
Nebula,2055,4,0,50794288.06,51,254695522.2,255,0,578,low
Jane Foster,2775,3,0,76835728.17,77,249266806.2,249,0,15,low
Erik Killmonger,1335,1,0,36853002.07,37,240199811.6,240,0,0,low
Falcon,2115,6,0,49434737.39,49,219602101.3,220,0,160,low
Groot,2070,4,0,49911839.65,50,217442892.9,217,0,150,low
Vision,1410,3,0,40080193.53,40,195266265.9,195,0,488,low
Nakia,1005,1,0,27743271.22,28,180824577.3,181,0,0,low
Okoye,1035,3,0,29013779.42,29,178345354.3,178,0,135,low
Shuri,990,3,0,27272522.92,27,174048099.4,174,0,60,low
Vulture,1140,1,0,31666666.67,32,157715538.2,158,0,0,low
The Ancient One,1245,2,0,33889927.06,34,143119519,143,0,210,low
Agent Coulson,1290,5,0,27681844,28,141641763.6,142,0,540,low
Mantis,1050,3,0,29088521.86,29,131578282.7,132,0,195,low
Odin,1440,3,0,38025614.41,38,127725834.1,128,0,0,low
Valkyrie,990,2,0,23288698.73,23,110763231.7,111,0,135,low
Iron Monger,1320,1,0,22857142.86,23,94850364.57,95,0,0,low
Ivan Vanko,1245,1,0,30740740.74,31,91311310.9,91,0,0,low
Quicksilver,615,2,0,16905717.62,17,91230488.43,91,0,600,low
Peggy Carter,1290,5,0,30471372.82,30,87341292.47,87,0,38,low
Wong,675,3,0,19667194.25,20,85834985.92,86,0,128,low
Heimdall,855,5,0,22603521.35,23,85414245.13,85,0,38,low
Hela,750,1,0,17612524.46,18,80781704.6,81,0,0,low
M'Baku,420,3,0,11843713.13,12,73668796.08,74,0,38,low
Betty Ross,1620,1,0,41432225.06,41,73133676.64,73,0,0,low
Red Skull,930,1,0,22199488.49,22,55109033.79,55,0,0,low
Emil Blonsky,1110,1,0,28388746.8,28,50110111.77,50,0,0,low
Sharon Carter,450,2,0,10173799.89,10,43007515.41,43,0,0,low
