Title,Gross,Budget
Ant-Man,502894470,130000000
Ant-Man and the Wasp,602868909,195000000
Avengers: Age of Ultron,1356049664,250000000
Avengers: Endgame,2070527142,356000000
Avengers: Infinity War,1939702234,400000000
Black Panther,1303556281,200000000
Captain America: Civil War,1087058374,250000000
Captain America: The First Avenger,347542455,140000000
Captain America: The Winter Soldier,674227074,170000000
Captain Marvel,1088028903,160000000
Doctor Strange,651379347,165000000
Guardians of the Galaxy,713699805,170000000
Guardians of the Galaxy Vol. 2,844160546,200000000
Iron Man,580958483,140000000
Iron Man 2,594073589,200000000
Iron Man 3,1161787250,200000000
Spider-Man: Far from Home,1102761745,160000000
Spider-Man: Homecoming,871585869,175000000
Avengers,1448455521,220000000
The Incredible Hulk,264770996,150000000
Thor,417575631,150000000
Thor: Ragnarok,825589021,180000000
Thor: The Dark World,597714110,170000000
