character,alter_ego,actor,first_appearance_month,first_appearance_year,first_appearance_movie,twitter_handle,followers
Agent Coulson,,,,,,,0
Ant-Man,Scott Lang ,Paul Rudd,July,2015,Ant-Man ,https://twitter.com/AntMan,1100
Betty Ross,,,,,,,0
Black Panther,King T'Challa ,Chadwick Aaron Boseman,May,2016,Captain America: Civil War,https://twitter.com/theblackpanther,1400
Black Widow,Natasha Romanoff,Scarlett Johansson,May,2010,Iron Man 2,https://twitter.com/theblackwidow,71.8
Captain America,Steve Rogers,Chris Evans,May,2011,Captain America: The First Avenger,https://twitter.com/CaptainAmerica,2600
Captain Marvel,Carol Danvers,Brie Larson,March,2019,Captain Marvel,https://twitter.com/captainmarvel,1100
Doctor Strange,Stephen Strange,Benedict Cumberbatch,November,2016,Doctor Strange,https://twitter.com/DrStrange,1200
Hank Pym,,,,,,,0
Drax,,,,,,,0
Emil Blonsky,,,,,,,0
Erik Killmonger,,,,,,,0
Falcon,,,,,,,0
Gamora,,,,,,,0
Groot,,,,,,,0
Hawkeye,,,,,,,0
Heimdall,,,,,,,0
Hela,,,,,,,0
Hulk,Bruce Banner ,Mark Ruffalo,June,2008,The Incredible Hulk,https://twitter.com/Hulk,459
Iron Man,Tony Stark ,Robert Downey Jr,May,2008,Iron Man ,https://twitter.com/Iron_Man,2400
Iron Monger,,,,,,,0
Ivan Vanko,,,,,,,0
Jane Foster,,,,,,,0
Loki,God of Mischief,Tom Hiddleston,May,2011,Thor,https://twitter.com/LokiOfficial,166.9
Mantis,,,,,,,0
MBaku,,,,,,,0
Nakia,,,,,,,0
Nebula,,,,,,,0
Nick Fury,,,,,,,0
Odin,,,,,,,0
Okoye,,,,,,,0
Peggy Carter,,,,,,,0
Pepper Potts,,,,,,,0
Quicksilver,,,,,,,0
Red Skull,,,,,,,0
Rocket Raccoon,,,,,,,0
Scarlet Witch,,,,,,,0
Sharon Carter,,,,,,,0
Shuri,,,,,,,0
Spider-Man,Peter Parker,Tom Holland / Tobey Maguire,May,2016,Captain America: Civil War,https://twitter.com/SpiderMan,966.9
Star-Lord,,,,,,,0
Thanos,,,,,,,0
The Ancient One,,,,,,,0
Thor Odinson,God Of Thunder,Chris Hemsworth,May,2011,Thor,https://twitter.com/thorofficial,2100
Valkyrie,,,,,,,0
Vision,,,,,,,0
Vulture,,,,,,,0
War Machine,,,,,,,0
Wasp,,,,,,,0
Winter Soldier,,,,,,,0
Wong,,,,,,,0
